,userId,movieId,tag,userMovie,rating,timestamp,tag_code
0,2,60756,"funny, Highly quotable, will ferrell","(2, 60756)",5.0,1445714980,1
1,2,89774,"Boxing story, MMA, Tom Hardy","(2, 89774)",5.0,1445715189,10
2,2,106782,"drugs, Leonardo DiCaprio, Martin Scorsese","(2, 106782)",5.0,1445714966,6
3,7,48516,way too long,"(7, 48516)",1.0,1169687318,10
4,18,431,"Al Pacino, gangster, mafia","(18, 431)",4.0,1462138790,6
5,18,1221,"Al Pacino, Mafia","(18, 1221)",5.0,1460242083,6
6,18,5995,"holocaust, true story","(18, 5995)",4.5,1455735416,10
7,18,44665,twist ending,"(18, 44665)",4.5,1455049870,3
8,18,52604,"Anthony Hopkins, courtroom drama, twist ending","(18, 52604)",4.5,1457650649,3
9,18,88094,"britpop, indie record label, music","(18, 88094)",3.0,1457352482,10
10,18,144210,"dumpster diving, Sustainability","(18, 144210)",4.0,1455060282,10
11,21,119141,bloody,"(21, 119141)",0.5,1419793939,10
12,49,109487,"black hole, sci-fi, time-travel","(49, 109487)",4.5,1493093231,4
13,62,2,"fantasy, magic board game, Robin Williams","(62, 2)",4.0,1528843890,7
14,62,110,"beautiful scenery, epic, historical, inspirational, Medieval, mel gibson, Oscar (Best Cinematography), revenge, sword fight","(62, 110)",4.5,1521822303,10
15,62,410,"black comedy, Christina Ricci, Christopher Lloyd, dark comedy, family, gothic","(62, 410)",4.5,1525636601,1
16,62,2023,"Al Pacino, Andy Garcia, Classic, Francis Ford Coppola, mafia","(62, 2023)",5.0,1525636725,6
17,62,2124,"black comedy, Christina Ricci, Christopher Lloyd, Family, gothic, quirky","(62, 2124)",5.0,1525636840,1
18,62,2953,"family, funny, Macaulay Culkin, sequel","(62, 2953)",3.5,1525636880,1
19,62,3114,"animation, Disney, funny, original, Pixar, sequel, Tom Hanks","(62, 3114)",3.0,1525636897,1
20,62,3578,"ancient Rome, Epic, history, imdb top 250, revenge, Rome, Russell Crowe","(62, 3578)",4.5,1521489618,10
21,62,4223,"Ed Harris, Jude Law, Rachel Weisz, sniper, World War II","(62, 4223)",4.5,1525125789,10
22,62,5388,"Al Pacino, atmospheric, Hilary Swank, Robin Williams","(62, 5388)",4.5,1530310806,6
