,Date,Product_Code,Warehouse,Product_Category,Order_Demand
0,2012-07-27,Product_0993,Whse_J,Category_028,100
1,2012-01-19,Product_0979,Whse_J,Category_028,500
2,2012-02-03,Product_0979,Whse_J,Category_028,500
3,2012-02-09,Product_0979,Whse_J,Category_028,500
4,2012-03-02,Product_0979,Whse_J,Category_028,500
5,2012-04-19,Product_0979,Whse_J,Category_028,500
6,2012-06-05,Product_0979,Whse_J,Category_028,500
7,2012-06-27,Product_0979,Whse_J,Category_028,500
8,2012-07-23,Product_0979,Whse_J,Category_028,500
9,2012-08-29,Product_0979,Whse_J,Category_028,500
10,2012-08-29,Product_0979,Whse_J,Category_028,500
11,2012-09-18,Product_0979,Whse_J,Category_028,500
12,2012-10-11,Product_0979,Whse_J,Category_028,500
13,2012-11-01,Product_0979,Whse_J,Category_028,500
14,2012-11-29,Product_0979,Whse_J,Category_028,500
15,2012-12-26,Product_0979,Whse_J,Category_028,500
16,2012-01-06,Product_1159,Whse_J,Category_006,50000
17,2012-01-18,Product_1159,Whse_J,Category_006,100000
18,2012-02-02,Product_1159,Whse_J,Category_006,50000
19,2012-02-22,Product_1159,Whse_J,Category_006,50000
20,2012-03-02,Product_1159,Whse_J,Category_006,50000
21,2012-03-09,Product_1159,Whse_J,Category_006,50000
22,2012-03-23,Product_1159,Whse_J,Category_006,50000
23,2012-04-06,Product_1159,Whse_J,Category_006,50000
24,2012-04-16,Product_1159,Whse_J,Category_006,50000
25,2012-05-07,Product_1159,Whse_J,Category_006,50000
26,2012-04-17,Product_1159,Whse_J,Category_006,50000
27,2012-05-30,Product_1159,Whse_J,Category_006,50000
28,2012-06-20,Product_1159,Whse_J,Category_006,50000
29,2012-06-29,Product_1159,Whse_J,Category_006,50000
30,2012-07-09,Product_1159,Whse_J,Category_006,50000
31,2012-07-17,Product_1159,Whse_J,Category_006,50000
32,2012-07-30,Product_1159,Whse_J,Category_006,50000
33,2012-08-27,Product_1159,Whse_J,Category_006,50000
34,2012-07-31,Product_1159,Whse_J,Category_006,50000
35,2012-08-06,Product_1159,Whse_J,Category_006,50000
